particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,0,0,0,0,-2.7737031,7.52625942,-5.49698019,0.105658367,-1
4503599660924928,-13,0,0,0,0,0,5.19086361,-0.588025391,-5.46823692,0.105658367,1
4503599677702144,13,0,0,0,0,0,-1.53360236,-1.05979514,-0.505503893,0.105658367,-1
4503599694479360,-13,0,0,0,0,0,-0.386863202,-2.69190049,2.14083147,0.105658367,1
9007199271518208,-13,0,0,0,0,0,0.256117046,7.22923422,1.38523495,0.105658367,1
9007199288295424,13,0,0,0,0,0,5.66127777,-3.5885911,-0.920934439,0.105658367,-1
9007199305072640,-13,0,0,0,0,0,-5.05719805,-2.109658,2.61000371,0.105658367,1
9007199321849856,-13,0,0,0,0,0,6.44423103,-3.15592647,4.03849506,0.105658367,1
13510798898888704,-13,0,0,0,0,0,0.758460522,-1.91563416,-0.821887553,0.105658367,1
13510798915665920,-13,0,0,0,0,0,2.83899999,-4.68029213,3.35854101,0.105658367,1
13510798932443136,13,0,0,0,0,0,-3.03241038,-5.79181576,-3.67426038,0.105658367,-1
13510798949220352,13,0,0,0,0,0,-4.77904463,4.16637135,0.361824602,0.105658367,-1
18014398526259200,-13,0,0,0,0,0,-0.368041724,0.386914283,0.967215776,0.105658367,1
18014398543036416,13,0,0,0,0,0,-7.93294859,-0.693872452,0.80115205,0.105658367,-1
18014398559813632,-13,0,0,0,0,0,-2.47300982,-4.37048817,2.54354382,0.105658367,1
18014398576590848,-13,0,0,0,0,0,-3.5943346,-4.49238253,8.02995968,0.105658367,1
22517998153629696,13,0,0,0,0,0,-4.75228453,-3.73222399,-1.65169525,0.105658367,-1
22517998170406912,-13,0,0,0,0,0,1.47173667,2.66715646,1.71053219,0.105658367,1
22517998187184128,13,0,0,0,0,0,1.79705727,0.948476017,0.60170716,0.105658367,-1
22517998203961344,13,0,0,0,0,0,-7.15780735,3.67600513,-0.0753899664,0.105658367,-1
27021597781000192,-13,0,0,0,0,0,-6.66890621,0.532840371,1.81816113,0.105658367,1
27021597797777408,-13,0,0,0,0,0,-1.04907846,1.35075915,-4.33113623,0.105658367,1
27021597814554624,-13,0,0,0,0,0,1.06647336,-2.55375767,8.35013485,0.105658367,1
27021597831331840,13,0,0,0,0,0,0.0838518962,1.58808947,-1.60097814,0.105658367,-1
31525197408370688,13,0,0,0,0,0,4.47281027,4.52972126,-4.47369576,0.105658367,-1
31525197425147904,-13,0,0,0,0,0,-0.207023576,-2.66352201,0.740531445,0.105658367,1
31525197441925120,-13,0,0,0,0,0,2.32170343,-6.83835459,-6.35189724,0.105658367,1
31525197458702336,-13,0,0,0,0,0,1.58930647,0.622174263,1.90874684,0.105658367,1
36028797035741184,-13,0,0,0,0,0,-5.77842236,-0.049704574,-5.05569839,0.105658367,1
36028797052518400,13,0,0,0,0,0,-6.39462948,5.10532427,0.224861443,0.105658367,-1
36028797069295616,-13,0,0,0,0,0,3.88788629,-0.243199125,-2.1488657,0.105658367,1
36028797086072832,13,0,0,0,0,0,-1.22766697,0.769730031,-0.062629424,0.105658367,-1
40532396663111680,-13,0,0,0,0,0,4.79807663,0.758442163,5.10019541,0.105658367,1
40532396679888896,-13,0,0,0,0,0,1.21467733,0.446049392,-0.0457113609,0.105658367,1
40532396696666112,-13,0,0,0,0,0,-3.09603357,0.257137358,-2.61034322,0.105658367,1
40532396713443328,-13,0,0,0,0,0,2.2055974,-3.06817484,0.0240834262,0.105658367,1
45035996290482176,13,0,0,0,0,0,-0.633325458,-1.40335464,-0.604490817,0.105658367,-1
45035996307259392,13,0,0,0,0,0,3.53698707,-4.25140762,2.55159616,0.105658367,-1
45035996324036608,-13,0,0,0,0,0,-2.29800153,-1.62219286,0.580510437,0.105658367,1
45035996340813824,-13,0,0,0,0,0,4.24868107,-0.134447575,-5.30892611,0.105658367,1
49539595917852672,13,0,0,0,0,0,-3.55535102,-1.86582959,4.1325736,0.105658367,-1
49539595934629888,-13,0,0,0,0,0,1.67017913,-4.12158871,7.72455072,0.105658367,1
49539595951407104,-13,0,0,0,0,0,5.14207458,-6.71152353,-1.06985998,0.105658367,1
49539595968184320,13,0,0,0,0,0,1.30557609,-0.678168952,-0.0327231027,0.105658367,-1
54043195545223168,13,0,0,0,0,0,0.754243433,5.42715073,2.56436419,0.105658367,-1
54043195562000384,-13,0,0,0,0,0,-1.37020397,3.20377541,-2.46514463,0.105658367,1
54043195578777600,13,0,0,0,0,0,-2.01079917,4.17519045,-7.2148037,0.105658367,-1
54043195595554816,-13,0,0,0,0,0,1.27098835,-6.66275024,4.92057228,0.105658367,1
58546795172593664,-13,0,0,0,0,0,-1.82586169,-1.81842494,-0.472045571,0.105658367,1
58546795189370880,13,0,0,0,0,0,-2.3202908,-4.25426149,2.58156204,0.105658367,-1
