identifier	time_total_s	time_perevent_s
Reader:EventGenerator	0.03254	3.254e-05
Algorithm:FatrasSimulation	6.42	0.00642
Algorithm:DigitizationAlgorithm	3.666	0.003666
Algorithm:TruthSeedSelector	0.1586	0.0001586
Algorithm:SpacePointMaker	0.07754	7.754e-05
Algorithm:SeedingAlgorithm	1.753	0.001753
Algorithm:TrackParamsEstimationAlgorithm	1.03	0.00103
Writer:RootParticleWriter	0.5639	0.0005639
Writer:CsvParticleWriter	1.232	0.001232
Writer:RootParticleWriter	1.386	0.001386
Writer:CsvParticleWriter	1.568	0.001568
Writer:RootParticleWriter	1.291	0.001291
Writer:CsvParticleWriter	1.29	0.00129
Writer:TrackFinderPerformanceWriter	3.957	0.003957
Writer:SeedingPerformanceWriter	0.2126	0.0002126
Writer:RootTrackParameterWriter	8.214	0.008214
Writer:RootParticleWriter:endRun	0.1525	0.0001525
Writer:CsvParticleWriter:endRun	8.3e-08	8.3e-11
Writer:RootParticleWriter:endRun	0.01155	1.155e-05
Writer:CsvParticleWriter:endRun	6.8e-08	6.8e-11
Writer:RootParticleWriter:endRun	0.008897	8.897e-06
Writer:CsvParticleWriter:endRun	8.1e-08	8.1e-11
Writer:TrackFinderPerformanceWriter:endRun	0.02192	2.192e-05
Writer:SeedingPerformanceWriter:endRun	0.02583	2.583e-05
Writer:RootTrackParameterWriter:endRun	0.01242	1.242e-05
